-31.565254959911783	-44.41919069878517
-34.075684555553394	-47.76643455605742
-37.42292401640888	-50.2768674490116
-40.35175854465742	-53.62411130628384
-35.74930428598114	-55.29773323491997
-30.72844509469792	-54.879327752760936
-23.197156307773085	-53.62411130628384
-15.665867520848252	-51.53208389548869
-9.389793531744232	-47.76643455605742
-2.695314610033265	-46.092812627421296
-2.695314610033265	-46.092812627421296
1.0703297834291448	-43.16397425230808
5.254379109498501	-39.81673039503583
8.601618570353978	-35.632675573445525
