-24.02974441557465	-24.340269762860288
-24.866564780243294	-30.19813830882076
-26.121795327246232	-34.80074930921826
-23.192924050906015	-37.7296835821985
-19.427232409897172	-39.40336030961578
-15.66154076888833	-41.91387540074169
-12.314259310213785	-44.424390491867605
-8.966977851539255	-45.67964803743056
-6.456516757533365	-47.353324764847834
-10.64061858087652	-53.62961249266262
-9.385388033873568	-55.3032892200799
-6.038106575199038	-57.39538512935149
-1.8540047518558822	-59.905900220477406
